"city","country","pop2024","latitude","longitude"
"Ogwashi-Uku","Nigeria",26137,6.17811,6.52461
"Eket","Nigeria",25569,4.64231,7.92438
"Kamba","Nigeria",25568,11.8517,3.65478
"Daura","Nigeria",25289,13.033,8.32351
"Takum","Nigeria",24822,7.26667,9.98333
"Igbeti","Nigeria",24690,8.74921,4.13113
"Zungeru","Nigeria",24447,9.80726,6.15238
"Zuru","Nigeria",24338,11.4352,5.23494
"Yenagoa","Nigeria",24335,4.92675,6.26764
"Tegina","Nigeria",24037,10.0706,6.1906
"Awgu","Nigeria",23175,6.07278,7.47739
"Wudil","Nigeria",23066,11.8094,8.84422
"Nafada","Nigeria",22920,11.096,11.3326
"Ibi","Nigeria",22757,8.18122,9.74431
"Sofo-Birnin-Gwari","Nigeria",22380,11.0154,6.78036
"Dutsen Wai","Nigeria",22062,10.8501,8.199
"Kaiama","Nigeria",21897,9.6053,3.94101
"Ubiaja","Nigeria",21782,6.65581,6.38494
"Otukpa","Nigeria",21686,7.10168,7.65945
"Oguta","Nigeria",21639,5.71044,6.80936
"Damboa","Nigeria",21571,11.1553,12.7564
"Jebba","Nigeria",21488,9.11972,4.8236
"Garko","Nigeria",21141,10.1751,11.1646
"Mokwa","Nigeria",21128,9.29482,5.05412
"Gaya","Nigeria",20959,11.8606,9.0027
"Tambuwal","Nigeria",20932,12.4059,4.64605
"Elele","Nigeria",20620,5.1009,6.81411
"Monguno","Nigeria",20297,12.6706,13.6122
"Kwale","Nigeria",20226,5.70773,6.43402
"Gembu","Nigeria",19881,6.72556,11.2565
"Obudu","Nigeria",19668,6.66819,9.16453
"Gombi","Nigeria",19616,10.1676,12.7368
"Magumeri","Nigeria",19363,12.1145,12.8262
"Degema Hulk","Nigeria",19223,4.76145,6.74957
"Enugu-Ezike","Nigeria",18989,6.9827,7.45534
"Kari","Nigeria",18812,11.2471,10.561
"Darazo","Nigeria",18415,10.9992,10.4106
"Rano","Nigeria",17972,11.5568,8.58065
"Kiyawa","Nigeria",17704,11.7844,9.6069
"Deba","Nigeria",17671,10.2119,11.3871
"Igbor","Nigeria",17666,7.45123,8.60805
"Babana","Nigeria",17617,10.4295,3.81495
"Egbe","Nigeria",17612,8.21667,5.51667
"Gwadabawa","Nigeria",17486,13.3582,5.23812
"Beli","Nigeria",17467,7.85868,10.9719
"Illela","Nigeria",17461,13.7306,5.29777
"Dutse","Nigeria",17129,11.7562,9.33896
"Dukku","Nigeria",16961,10.8238,10.7722
"Bonny","Nigeria",16868,4.4516,7.17074
"Bode Saadu","Nigeria",16619,8.939,4.78227
"Rijau","Nigeria",16613,11.1039,5.25556
"Kumagunnam","Nigeria",16557,13.155,10.6347
"Lapai","Nigeria",16442,9.04439,6.57089
"Burutu","Nigeria",16410,5.35328,5.50826
"Gwarzo","Nigeria",16303,11.916,7.9337
"Kukawa","Nigeria",16077,12.9248,13.5662
"Akwanga","Nigeria",15985,8.91077,8.40655
"Billiri","Nigeria",15976,9.86545,11.2262
"Iperu","Nigeria",15935,6.91002,3.66557
"Gwaram","Nigeria",15806,11.2773,9.88385
"Soba","Nigeria",15715,10.9813,8.05749
"Marte","Nigeria",15707,12.3653,13.8293
"Ibeto","Nigeria",15565,10.4854,5.14501
"Bukuru","Nigeria",15540,9.79399,8.86397
"Anchau","Nigeria",15538,10.9625,8.39233
"Ado Odo","Nigeria",15442,6.6,2.93333
"Ganye","Nigeria",15178,8.43497,12.0511
"Gwoza","Nigeria",15176,11.0831,13.6959
"Ajaokuta","Nigeria",15144,7.56229,6.65497
"Doma","Nigeria",15097,8.39307,8.35544
"Isanlu-Itedoijowa","Nigeria",15087,8.27445,5.83528
"Udi","Nigeria",14998,6.31592,7.42086
"Icheu","Nigeria",14704,7.7067,6.7718
"Igarra","Nigeria",14647,7.29366,6.10432
"Ankpa","Nigeria",14630,7.40249,7.63196
"Lere","Nigeria",14620,9.71052,9.34029
"Omu-Aran","Nigeria",14477,8.13857,5.1026
"Ringim","Nigeria",14463,12.1514,9.16216
"Yashikera","Nigeria",14454,9.76667,3.4
"Jibia","Nigeria",14424,13.0938,7.22624
"Kajuru","Nigeria",14389,10.3228,7.68462
"Gassol","Nigeria",14326,8.53535,10.4461
"Shani","Nigeria",14305,10.2182,12.0606
"Ugbokpo","Nigeria",14218,7.65321,7.8841
"Dapchi","Nigeria",14077,12.4954,11.4998
"Ngala","Nigeria",14031,12.3405,14.1867
"Misau","Nigeria",13957,11.3137,10.4666
"Gandi","Nigeria",13940,12.9636,5.74337
"Ago Are","Nigeria",13919,8.5,3.41667
"Ore","Nigeria",13905,6.74716,4.8761
"Uruobo-Okija","Nigeria",13898,5.90016,6.84312
"Damasak","Nigeria",13874,13.1052,12.5085
"Gamawa","Nigeria",13549,12.1338,10.5379
"Sauri","Nigeria",13445,11.7266,6.78374
"Konduga","Nigeria",13400,11.6533,13.4179
"Dindima","Nigeria",13356,10.2263,10.1513
"Ikang","Nigeria",13305,4.78978,8.5316
"Yelwa","Nigeria",13234,8.83333,9.63333
"Langtang","Nigeria",13172,9.14164,9.79101
"Kazaure","Nigeria",13169,12.6485,8.41178
"Wurno","Nigeria",13087,13.2905,5.42373
"Kujama","Nigeria",12967,10.4577,7.63808
"Okeho","Nigeria",12964,8.03386,3.34759
"Madagali","Nigeria",12919,10.8894,13.6283
"Obubra","Nigeria",12885,6.07672,8.33241
"Ahoada","Nigeria",12848,5.0828,6.64981
"Boju","Nigeria",12814,7.35572,7.89303
"Agenebode","Nigeria",12730,7.10512,6.69381
"Ajasse Ipo","Nigeria",12718,8.23333,4.81667
"Runka","Nigeria",12665,12.4479,7.30918
"Lau","Nigeria",12657,9.20827,11.2754
"Kafin Hausa","Nigeria",12609,12.2393,9.91105
"Bakori","Nigeria",12604,11.5556,7.42419
"Dutsin-Ma","Nigeria",12595,12.4539,7.49723
"Abak","Nigeria",12562,4.98236,7.78922
"Dakingari","Nigeria",12558,11.6481,4.06177
"Bokkos","Nigeria",12538,9.29921,8.99467
"Gorgoram","Nigeria",12470,12.6396,10.7042
"Zango","Nigeria",12371,13.0531,8.48574
"Dange","Nigeria",12369,12.8531,5.34572
"Kaltungo","Nigeria",12357,9.81998,11.3087
"Amper","Nigeria",12212,9.35509,9.70121
"Miringa","Nigeria",12117,10.7311,12.1463
"Zalanga","Nigeria",12070,10.6143,10.1765
"Vom","Nigeria",12000,9.7291,8.79138
"Obiaruku","Nigeria",11936,5.84672,6.1529
"Madala","Nigeria",11771,9.10444,7.21333
"Toungo","Nigeria",11759,8.11733,12.0461
"Agaie","Nigeria",11742,9.0085,6.31821
"Machina","Nigeria",11707,13.1364,10.0492
"Mutum Biyu","Nigeria",11702,8.64138,10.7736
"Kangiwa","Nigeria",11701,12.5534,3.81814
"Bori","Nigeria",11693,4.67629,7.36519
"Burumburum","Nigeria",11689,11.3911,8.72341
