city_id,city,country,population,latitude,longitude,region
321,Bebeji,Nigeria,10987,11.6677,8.262,North
322,Arochukwu,Nigeria,10776,5.38941,7.91235,South
323,Takai,Nigeria,10748,11.5757,9.1088,North
324,Panyam,Nigeria,10715,9.40756,9.21481,South
325,Koton-Karfe,Nigeria,10709,8.0912,6.79782,South
326,Katagum,Nigeria,10602,12.2851,10.3503,North
327,Zaki Biam,Nigeria,10470,7.50671,9.6104,South
328,Goronyo,Nigeria,10460,13.4423,5.67234,North
329,Etinan,Nigeria,10318,4.84262,7.85252,South
330,Aliade,Nigeria,10292,7.29627,8.48278,South
331,Wawa,Nigeria,10200,9.90222,4.41917,South
332,Gabarin,Nigeria,10160,11.1093,10.4441,North
333,Gwandu,Nigeria,10018,12.502,4.64295,North
334,Madara,Nigeria,10015,11.7798,10.4479,North
335,Maiyama,Nigeria,10014,12.0822,4.36907,North
336,Wagini,Nigeria,9986,12.6878,7.19579,North
337,Buga,Nigeria,9913,8.49056,7.34139,South
338,Benisheikh,Nigeria,9825,11.8092,12.4915,North
339,Ete,Nigeria,9805,7.08956,7.45341,South
340,Bugana,Nigeria,9737,7.99917,7.58361,South
341,Danja,Nigeria,9736,11.3771,7.56097,North
342,Kankara,Nigeria,9609,11.9311,7.41115,North
343,Amagunze,Nigeria,9598,6.33063,7.65247,South
344,Alapa,Nigeria,9584,8.61667,4.38333,South
345,Yuli,Nigeria,9549,9.69707,10.2735,South
346,Kura,Nigeria,9537,11.7723,8.42631,North
347,Tsafe,Nigeria,9367,11.9578,6.92083,North
348,Orlu,Nigeria,9351,5.79565,7.03513,South
349,Birniwa,Nigeria,9334,12.7907,10.2361,North
350,Shinkafi,Nigeria,9324,13.073,6.50574,North
351,Ejirin,Nigeria,9204,6.61423,3.90019,South
352,Holma,Nigeria,9199,9.89863,13.0545,South
353,Wuyo,Nigeria,9189,10.3852,11.6968,North
354,Ifaki,Nigeria,9185,7.78942,5.24852,South
355,Ogurugu,Nigeria,9135,6.78636,6.95017,South
356,Kwatarkwashi,Nigeria,9084,12.1408,6.82196,North
357,Mahuta,Nigeria,9047,11.5534,4.98138,North
